timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw,netdata_STATS_GNODEB_bps_average
1665153756.0843081,0.040080384057161994,0.3,88.5,0.03907558334263704,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902004,['192.168.22.212'],114,2992698,200,12.829449462890626,14479858.616666649
1665153816.224298,0.03935957304869913,0.21,88.5,0.038910505836575876,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902121,['192.168.22.212'],117,2992910,212,13.979794311523438,15870827.75
1665153876.3808537,0.03902871715267768,0.08,88.5,0.03725468455482869,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902239,['192.168.22.212'],118,2993122,216,14.941310119628906,15803813.850000001
1665153936.5192454,0.06645569620253164,0.16,88.5,0.27531645569620256,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902364,['192.168.22.212'],125,2993348,218,14.109959411621094,15954056.3833333
1665153996.6816053,0.04120879120879121,0.22,88.5,0.03967032967032967,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902486,['192.168.22.212'],122,2993570,226,14.403957112630208,15572640.816666648
1665154056.831954,0.042296734604426914,0.21,88.5,0.03999561691869385,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902618,['192.168.22.212'],132,2993810,232,15.113111877441407,17067861.23333335
1665154117.0026774,0.043264503441494594,0.08,88.5,0.040751666120397684,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902747,['192.168.22.212'],129,2994046,232,14.472318013509115,16050012.883333325
1665154177.151446,0.04159878353426741,0.15,88.5,0.03955661812649424,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2902874,['192.168.22.212'],127,2994276,234,15.622680155436198,17608201.683333322
1665154237.3268116,0.041193642555951995,0.25,88.5,0.0393556060114607,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903000,['192.168.22.212'],126,2994504,230,15.383593241373697,16921222.600000024
1665154297.4819639,0.04454751375256175,0.26,88.5,0.04239024916405997,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903121,['192.168.22.212'],121,2994730,221,15.311622619628906,17312916.666666675
1665154357.6465886,0.04098272717519579,0.29,88.5,0.03937345778349962,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903244,['192.168.22.212'],123,2994952,223,15.314769490559895,16330866.55
1665154417.842973,0.04219948849104859,0.18,88.5,0.04092071611253197,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903368,['192.168.22.212'],124,2995178,222,14.584036763509115,15909747.033333324
1665154477.9434934,0.02586206896551724,0.3,88.5,0.05172413793103449,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903490,['192.168.22.212'],122,2995398,228,14.356289672851563,15904136.149999999
1665154538.084655,0.04186983252066992,0.35,88.5,0.03985584057663769,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903613,['192.168.22.212'],123,2995620,216,14.25355936686198,15902704.35
1665154598.2453556,0.0408745247148289,0.26,88.5,0.038758052592670816,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903731,['192.168.22.212'],118,2995834,218,14.084197998046875,15508698.483333323
1665154658.4079208,0.040837806546679296,0.3,88.5,0.03893917070090507,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903852,['192.168.22.212'],121,2996052,216,14.612482198079427,15915308.416666675
1665154718.5709114,0.040444258172673934,0.11,88.5,0.03803835271927067,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2903969,['192.168.22.212'],117,2996264,218,13.931920369466146,15207313.316666674
1665154778.770936,0.04048709408825978,0.17,88.5,0.03840549542048293,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2904091,['192.168.22.212'],122,2996480,210,13.887975565592448,15303752.583333325
1665154838.907458,0.03956875788507856,0.28,88.5,0.04266544328478036,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2904208,['192.168.22.212'],117,2996688,214,13.29319101969401,14675090.583333325
1665154899.0601635,0.03929273084479371,0.32,88.5,0.03681108468617516,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2904325,['192.168.22.212'],117,2996899,208,13.470880126953125,15116608.866666649
1665154959.2027643,0.037955153260645955,0.25,88.5,0.03610368236988274,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2904439,['192.168.22.212'],114,2997104,210,13.873415120442708,15323865.983333325
