timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw
1664085063.6727855,0.1720285594288114,0.57,88,0.1616967660646787,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1442011,['192.168.22.212'],634,1374056,606,5.161052068074544
1664085123.8200915,0.17505030181086517,0.61,88,0.16341074872138844,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1442620,['192.168.22.212'],621,1374638,592,5.084052340189616
1664085183.9945033,0.17134502923976608,0.98,88,0.18912371564614486,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1443239,['192.168.22.212'],607,1375226,578,4.966601816813151
1664085244.1197445,0.17225597070816343,1.07,88,0.18442077230359522,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1443860,['192.168.22.212'],617,1375818,586,5.041082636515299
1664085304.2775044,0.17266007806660577,1.05,88,0.1618636325886554,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1444483,['192.168.22.212'],620,1376414,592,5.100348218282064
1664085364.4795866,0.1711190141427508,0.79,88,0.1607807460094285,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1445111,['192.168.22.212'],622,1377012,594,5.045360819498698
1664085424.6376133,0.16549789621318373,0.89,88,0.15419519841597226,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1445731,['192.168.22.212'],626,1377603,598,5.147846603393555
1664085484.772568,0.17262638717632553,0.85,88,0.16211772443275238,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1446356,['192.168.22.212'],616,1378200,586,5.007752736409505
1664085544.8899848,0.17587567834237788,0.84,88,0.19149810886367372,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1446981,['192.168.22.212'],628,1378796,596,5.147922388712565
1664085605.0264452,0.15116657623440044,0.83,88,0.19880629408572978,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1447531,['192.168.22.212'],623,1379318,600,5.0347505569458
1664085665.1693244,0.17556939210224481,0.92,88,0.16247439573945105,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1448150,['192.168.22.212'],546,1379908,518,4.454398345947266
1664085725.3383465,0.17259380097879282,0.76,88,0.1608482871125612,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1448770,['192.168.22.212'],619,1380498,590,5.04998410542806
1664085785.4565754,0.17089430894308943,1.14,88,0.1599869929274043,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1449383,['192.168.22.212'],618,1381084,590,5.047404225667318
1664085845.5723867,0.1795760293518141,1.25,88,0.21708112515287403,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1450007,['192.168.22.212'],611,1381678,582,4.990775616963704
1664085905.6530273,0.17291953650433514,1,88,0.16287172838505792,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1450633,['192.168.22.212'],623,1382276,594,5.075319735209147
1664085965.84484,0.1709512610493877,0.82,88,0.15838131538399156,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1451253,['192.168.22.212'],624,1382868,596,5.081366157531738
1664086026.021499,0.17464288596562022,0.79,88,0.16229521426842064,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1451872,['192.168.22.212'],619,1383458,590,5.080606969197591
1664086086.176009,0.17672170761175995,0.84,88,0.16318968989126056,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1452503,['192.168.22.212'],618,1384059,590,5.0548298517862955
1664086146.3637323,0.16637210796915167,1.27,88,0.20324550128534705,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1453127,['192.168.22.212'],626,1384654,596,5.128699429829916
1664086206.5333002,0.1745234107043152,1.21,88,0.1625588258754088,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1453744,['192.168.22.212'],626,1385244,595,5.08073616027832
1664086266.6810644,0.1740723045070871,1.11,88,0.1629240324892499,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1454365,['192.168.22.212'],620,1385836,592,5.0318393071492515
1664086326.8270147,0.17353596435391472,0.95,88,0.16215786123488224,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1454990,['192.168.22.212'],625,1386434,598,5.1008042653401695
1664086386.9484856,0.169225881605422,0.97,88,0.24208408344805676,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1455622,['192.168.22.212'],627,1387036,595,5.104669316609701
1664086447.157825,0.17099019297690604,0.85,88,0.15865232521354003,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1456231,['192.168.22.212'],608,1387618,583,5.036437479654948
1664086507.3084316,0.1677847052324205,0.8,88,0.15689369426248914,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1456840,['192.168.22.212'],610,1388198,580,4.988713773091634
1664086567.451492,0.16765099614142845,0.64,88,0.15654775966611542,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1457450,['192.168.22.212'],606,1388780,580,4.9268590927124025
1664086627.5778866,0.16950750137459744,0.65,88,0.16047443248762863,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1458062,['192.168.22.212'],611,1389362,580,5.018317095438639
1664086687.7008083,0.17143306096794467,1.07,88,0.18573224387177875,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1458668,['192.168.22.212'],605,1389940,578,4.947831789652507
1664086747.8306189,0.17321540388227927,0.77,88,0.16272698810269254,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1459286,['192.168.22.212'],617,1390530,588,5.021810468037923
1664086807.9278116,0.1734040892773529,0.73,88,0.16435149055720308,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1459914,['192.168.22.212'],625,1391130,598,5.107755851745606
1664086868.0637171,0.1689068448450004,0.7,88,0.16199207520783157,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1460527,['192.168.22.212'],612,1391714,584,5.0029149373372395
1664086928.2065723,0.16990819978216898,0.6,88,0.15893885171930916,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1461131,['192.168.22.212'],605,1392288,574,4.912818145751953
